Spotlight year,Historical weather year,Peak Demand (MW)
2030/31,1984/85,67140
2030/31,1985/86,66280
2030/31,1986/87,67389
2030/31,1987/88,63020
2030/31,1988/89,61473
2030/31,1989/90,61458
2030/31,1990/91,66984
2030/31,1991/92,64652
2030/31,1992/93,63200
2030/31,1993/94,64511
2030/31,1994/95,62610
2030/31,1995/96,64781
2030/31,1996/97,66965
2030/31,1997/98,65135
2030/31,1998/99,64367
2030/31,1999/2000,62366
2030/31,2000/01,65725
2030/31,2001/02,63298
2030/31,2002/03,65098
2030/31,2003/04,64767
2030/31,2004/05,62978
2030/31,2005/06,65692
2030/31,2006/07,64443
2030/31,2007/08,61256
2030/31,2008/09,65289
2030/31,2009/10,67488
2030/31,2010/11,66629
2030/31,2011/12,67075
2030/31,2012/13,65416
2030/31,2013/14,63292
2030/31,2014/15,65512
2030/31,2015/16,63102
2030/31,2016/17,62913
2030/31,2017/18,64400
2035/36,1984/85,79388
2035/36,1985/86,78579
2035/36,1986/87,79040
2035/36,1987/88,72409
2035/36,1988/89,71435
2035/36,1989/90,71699
2035/36,1990/91,80238
2035/36,1991/92,76424
2035/36,1992/93,77235
2035/36,1993/94,75350
2035/36,1994/95,72832
2035/36,1995/96,77478
2035/36,1996/97,80487
2035/36,1997/98,75949
2035/36,1998/99,73635
2035/36,1999/2000,73509
2035/36,2000/01,77236
2035/36,2001/02,74222
2035/36,2002/03,78712
2035/36,2003/04,76019
2035/36,2004/05,72490
2035/36,2005/06,76092
2035/36,2006/07,76106
2035/36,2007/08,71598
2035/36,2008/09,76173
2035/36,2009/10,80744
2035/36,2010/11,79618
2035/36,2011/12,78983
2035/36,2012/13,77259
2035/36,2013/14,73075
2035/36,2014/15,75567
2035/36,2015/16,73937
2035/36,2016/17,74590
2035/36,2017/18,75700
2040/41,1984/85,95684
2040/41,1985/86,94963
2040/41,1986/87,94906
2040/41,1987/88,87266
2040/41,1988/89,87287
2040/41,1989/90,86782
2040/41,1990/91,97369
2040/41,1991/92,91516
2040/41,1992/93,92429
2040/41,1993/94,90401
2040/41,1994/95,86104
2040/41,1995/96,93405
2040/41,1996/97,96494
2040/41,1997/98,90080
2040/41,1998/99,86875
2040/41,1999/2000,88045
2040/41,2000/01,91868
2040/41,2001/02,89254
2040/41,2002/03,93773
2040/41,2003/04,90677
2040/41,2004/05,86531
2040/41,2005/06,90161
2040/41,2006/07,90319
2040/41,2007/08,87960
2040/41,2008/09,90975
2040/41,2009/10,97607
2040/41,2010/11,96204
2040/41,2011/12,94798
2040/41,2012/13,92778
2040/41,2013/14,85904
2040/41,2014/15,89511
2040/41,2015/16,88136
2040/41,2016/17,88690
2040/41,2017/18,92400
